id;account_number;product_id;opening_date;status;balance
1;monitor;Car TCP;2021-02-19T03:58:05;39826;40554
2;magenta;Connecticut Shoes Fantastic Concrete Car;2021-02-18T22:42:30;61296;55016
3;Towels generating;Movies;2021-02-18T19:04:25;98235;59937
4;green Implemented;North Dakota Gorgeous Frozen Chair;2021-02-19T00:11:01;36473;68034
5;non-volatile;distributed North Korean Won Lebanese Pound;2021-02-18T10:53:11;49426;16567
6;Borders interface;Fully-configurable Intranet Buckinghamshire;2021-02-18T13:49:22;26271;11686
7;Intelligent Steel Mouse enterprise transform;indexing;2021-02-18T16:47:52;25354;55443
8;Personal Loan Account Toys;platforms repurpose Delaware;2021-02-18T18:46:16;29227;7388
9;Soap;technologies Handmade Metal Sausages;2021-02-19T04:31:54;17093;46969
10;Technician;Credit Card Account Health withdrawal;2021-02-18T18:18:21;94647;96785
